,6120562750,6120565040,6120566690,6120568380,6120568390,6120568660,6120568710,6120569430,6120570360,6120570630,6120573030,6120573090,6120573550,6120573860,6120574110,6120574360,6120575360,6120576000,6120577010,6120577570,6120577910,6120579790,6120579940,6120580500,6120581230,6120581430,6120584830,6120585900,6120586520,6121186570,6121186940,6121187470,6121187980,6121190900,6121192070,6121192630,6121193270
6120570630,33.6069381167,33.1318167923,49.1431848364,170.062987571,6.92467463616,19.8888365712,61.3515142512,24.7622620686,198.530436724,,67.0568498269,87.9536982895,96.9958525867,140.774192282,0.764743915704,95.3681283572,9.2060331424,173.388146321,38.7191744345,80.4143818642,81.5275980955,171.8286751,119.218126039,109.390134331,113.799363154,89.6500833724,87.5050856859,74.0136309049,76.0876338237,41.5279210709,6.37795517369,45.4352707225,13.8734940207,113.878417674,81.9021772696,120.368332875,184.596847952
6120573030,34.7109029915,42.526553249,70.8490224681,25.9243903468,34.8155602166,49.6173992127,66.6104966682,25.6259480832,26.0352201376,67.0568498269,,127.286390313,2.21516377026,49.4138776743,53.0089634261,26.9829922751,57.1418379221,3.10635443475,39.7008077468,61.5850984365,52.2793875302,26.5996307113,17.3675381573,16.5688929841,21.6006405857,23.5324325531,27.8578208808,19.8975950695,25.1499165645,74.5411465095,52.1856134005,46.2523145838,36.242576561,39.1631150554,65.7393535191,22.032761703,21.374507237
6120573090,49.7809818302,58.2651837881,81.0703843387,47.3482790352,45.4063053826,61.4861001674,77.4087137503,38.3374994193,47.7828711975,87.9536982895,127.286390313,,64.0724137935,15.6227753197,72.4512112931,78.8200325568,79.8793872045,28.7076770222,69.2956442363,0.784235457564,13.8094564625,2.51981489626,8.36139147703,8.01883761226,2.00086009402,3.29318524198,8.73961602142,0.520630001486,8.08637804669,83.1600737049,64.167914226,63.6319600883,49.2107016908,59.899345954,0.891902490756,63.8145443073,13.2817958108
6120573550,43.2553705708,55.2008439632,86.7321031299,37.4825458728,40.7691538853,60.5002380152,80.4909445073,31.0918979199,37.87385597,96.9958525867,2.21516377026,64.0724137935,,176.26925628,69.7339037167,81.5282705199,77.5370665325,5.0678358662,50.896868835,45.0387100998,44.3105174247,34.7720647976,20.7030888199,19.3393008761,25.2735114214,25.879157727,30.0902742524,21.0166556666,26.5476889347,88.3790402985,63.9150820394,63.3633897134,44.5284506356,53.5857668636,47.2874773595,45.678205478,30.4291056767
6120573860,62.598584868,78.1812958999,105.112472999,69.3089321611,52.9520889354,77.3678060822,97.6906736378,45.5620865778,70.57446849,140.774192282,49.4138776743,15.6227753197,176.26925628,,98.8465483976,684.162952263,113.692322801,33.9062256352,83.5519790525,12.1898554627,18.0520809148,8.58285249164,1.35837592514,1.25568672744,6.00019059905,10.3493030211,15.5827174626,6.57646779498,13.7533132692,104.230488375,81.7873221532,91.8024331088,61.2299660867,84.5324864052,12.7349831521,169.02808735,6.88445532866
6120574110,25.1217312237,23.013404142,40.2088389695,77.0004724897,7.68700898285,19.0286732163,64.7096079691,27.0407438518,81.7265294136,0.764743915704,53.0089634261,72.4512112931,69.7339037167,98.8465483976,,66.5020134817,17.2982770269,207.612608775,43.9682822595,69.5226085344,73.1280103228,169.117585567,131.970613321,123.107282735,129.008917074,99.7307987249,95.5821933938,80.1631997005,83.1582863097,33.1051651338,4.76422971391,27.6582815213,12.6706398861,152.997142986,70.3806941814,78.9578047978,148.077073873
6120574360,30.8645333768,41.9111690845,79.3230404383,22.4318034897,36.1668913875,54.6008934982,76.7942066061,24.3676442528,22.9296875855,95.3681283572,26.9829922751,78.8200325568,81.5282705199,684.162952263,66.5020134817,,75.912770718,13.5626878896,43.7505188382,62.4682409471,61.5608699658,67.6985951692,42.1648687986,38.7692074316,45.0849557646,41.156520874,44.7603084137,33.8346307792,38.6955410909,78.2523395078,54.2070916776,49.5856683784,36.7327683081,46.2569700168,65.0854881329,7.34612703849,76.1674960927
6120575360,21.6279411892,19.211667216,39.908178671,72.011264269,9.07401708896,19.5439435434,57.3650278951,19.4692891267,76.9739933503,9.2060331424,57.1418379221,79.8793872045,77.5370665325,113.692322801,17.2982770269,75.912770718,,433.528350851,52.416373412,76.8112450677,81.1322898082,237.548903048,165.369949499,149.296100112,155.074810966,111.34548085,105.603435503,87.4339139214,89.6187930902,34.2572310039,7.34822988427,23.4448280671,8.06541708699,107.480981023,77.8449165158,94.3351824012,203.267813032
6120576000,34.8871099041,45.988386528,91.387341858,37.3256261891,53.8416926993,75.4048904865,107.89953146,39.6697676629,39.5754894304,173.388146321,3.10635443475,28.7076770222,5.0678358662,33.9062256352,207.612608775,13.5626878896,433.528350851,,130.593507175,28.0693219613,33.4269091314,118.240231909,58.9021245777,50.8174272737,62.0793074105,46.1594370499,48.122893538,33.0429892312,39.9975259154,78.8187227246,60.3700100251,55.2107057935,50.1685630979,137.526139092,28.4429577474,19.8656367178,69.3954818435
6120577010,0.0866287788846,4.46369931603,44.4441677146,18.1463270395,20.9154030868,30.0488534761,55.8906063452,3.05464848999,18.8667306239,38.7191744345,39.7008077468,69.2956442363,50.896868835,83.5519790525,43.9682822595,43.7505188382,52.416373412,130.593507175,,71.910521245,82.5681180271,407.158660062,836.386344987,458.554387763,428.645830007,165.351445509,146.091418441,110.33460454,109.721377001,40.5039063523,21.1482544714,5.08262305587,10.9029204449,5.74741500324,72.4241076897,50.3453686231,177.011827855
