a,cv,eopt,flagLo,gyo,idcr,lcor,lgrad,lo,lopt,lrio,o,std,yo
0.0736019313147,0.211725994495,3.0,Gradiente,2040.40602453666,000497701A,12.123343709278327,81.4123174405,13.5866,46.7678305749,137.552027186,0.2,62173.5845388,293651.163086
0.0557171352478,0.489121167263,16.0,Distancia,114.90021777731403,004987805A,3.0008086089149404,33.6055270076,17.9478,18.3031678083,300.271349037,0.2,3338.66643452,6825.84737276
8.67721831275,0.0246454362247,2.0,0,0,004984506A,0,13.6687082552,0.115244305716,13.6687082552,27.3374165105,0.2,276.406738281,11215.331543
0.00554693623298,0.79677535883,13.0,Distancia,32.184522864747478,000001901T,11.358867376845723,20.2139410703,180.2797,15.7864042236,197.96539418,0.2,916.344918359,1150.06683904
20.5798303252,0.0,2.0,0,0,001317515P,0,2.93327348535,0.0485912655351,2.93327348535,5.86654697071,0.2,0.0,113.140090942
0.427789185489,0.221310059023,4.0,Distancia,7.7637048633052874,001377815P,1.9090965020882122,54.6734681376,2.3376,28.2912823198,111.784062214,0.2,166.062589511,750.361688232
0.154318606194,0.381867930443,6.0,Distancia,7.596463610476607,137553406P,1.7775233898140879,22.9851901881,6.4801,12.381356789,69.4066967337,0.2,117.868501367,308.663000924
0.00730983465154,0.798944290392,18.0,Distancia,31.573460306324442,000496913A,8.5727358701427825,15.8220232126,136.802,12.1973795414,218.112430035,0.2,705.546605586,883.098626614
inf,0.0,1.0,0,0,137553206P,0,28.0021327718,0.0,28.0021327718,28.0021327718,0.2,0.0,287.066650391
6.46154529578,0.840039548698,2.0,0,0,000015603T,0,19.7662231023,0.154761741074,19.7662231023,39.5324462045,0.2,659.459293365,785.033626556
0.00271103951557,0.752935401795,16.0,Distancia,49.632207230525651,000499912A,26.026076897569141,39.47872354,368.8622,32.7524002188,512.77158938,0.2,2608.01100696,3463.79118414
0.157358888417,0.167945258613,3.0,Gradiente,44.364705300550419,004989902A,9.0122497256880241,55.2717237277,6.3549,32.1419867267,89.7973195706,0.2,728.003333918,4334.765625
0.0107163907196,0.539872257744,9.0,Distancia,38.284639700981927,004984205A,12.806469796158286,9.49971464661,93.315,9.49971464661,82.8342780639,0.2,347.097228796,642.924736023
inf,0.0,1.0,0,0,001395215P,0,23.919027899,0.0,23.919027899,23.919027899,0.2,0.0,289.415039062
inf,0.0,1.0,0,0,004987505A,0,22.2826929615,0.0,22.2826929615,22.2826929615,0.2,0.0,30212.0859375
0.061470749144,0.312475086093,8.0,Gradiente,257.15298491739043,000499712A,6.6643944287114847,41.8945276906,16.2679,24.2794610597,197.666698796,0.2,5950.99075609,19044.6887478
479.312068711,0.162602082978,2.0,0,0,004664513A,0,11.3788145003,0.0020863234316,11.3788145003,22.7576290006,0.2,3093.54003906,19025.2177734
6.1803144092,0.107017566974,2.0,0,0,001375615P,0,26.6024273762,0.161804065908,26.6024273762,53.2048547525,0.2,172.525146484,1612.11987305
0.0156261719629,1.13339625555,11.0,Distancia,151.23628571564751,004989415A,1.9927088288655366,9.92168043589,63.9952,5.95719463238,65.6818721736,0.2,3006.40871714,2652.56630452
0.159273711874,0.460312368148,7.0,Distancia,18.593236245423395,001375808P,1.1852517403149947,25.3988130026,6.2785,13.2920323715,98.9647100596,0.2,384.278478986,834.821103183
19.3995259532,0.134755146777,4.0,Sin interseccion,383.11795588049119,004995104A,0.11354765010978093,43.3405386926,0.0515476513401,21.7270431714,76.5057571149,0.2,3955.4617041,29352.9545898
0.000750660186868,1.10901663634,6.0,Distancia,693.58044156614642,004991505A,43.325191066525505,23.6108751283,1332.1607,23.6108751283,151.957040238,0.2,32104.9497198,28949.0244489
3.97087674045,0.337308260723,4.0,0,0,013753208P,0,14.4171979331,0.251833553485,14.4171979331,57.6687917325,0.2,143.591679065,425.698673248
0.0424084613362,0.678827658792,14.0,Gradiente,17.600172872409409,000013208P,2.0468613102053452,19.1137316241,23.5802,10.5802964672,143.195009747,0.2,403.689038935,594.68560791
inf,0.0,1.0,0,0,013771505P,0,18.4402644692,0.0,18.4402644692,18.4402644692,0.2,0.0,23.8853168488
0.00341267227596,0.720060929113,17.0,Distancia,47.726835231969879,000137215P,22.606166084125267,13.663853938,293.0255,13.663853938,238.064867071,0.2,830.099410607,1152.81829224
7.10740726259,0.222623305448,4.0,0,0,013759415P,0,10.3801910781,0.140698283221,10.3801910781,41.5207643124,0.2,125.85529398,565.328475952
2.41144145716,0.200314514844,4.0,0,0,001377415P,0,22.5987226268,0.414689727188,22.5987226268,90.3948905071,0.2,230.453083123,1150.45623779
11.8203655222,0.133588242529,2.0,0,0,000014401T,0,26.1917232182,0.0845997527002,26.1917232182,52.3834464365,0.2,43.6691741943,326.893844604
inf,0.0,1.0,0,0,137551906P,0,24.4102956035,0.0,24.4102956035,24.4102956035,0.2,0.0,51.7202377319
0.0174161412797,0.222687553491,3.0,Distancia,47.154246482720779,013777915P,46.314413019662013,14.5729365093,57.418,14.5729365093,46.6438535295,0.2,270.513433631,1214.76674107
0.0074436053847,0.240174852702,2.0,Distancia,630.27830426624303,004995505A,93.158306261602533,24.7674592478,134.3435,24.7674592478,46.9585794423,0.2,6627.75366957,27595.5354818
0.0725747338322,0.35939141265,5.0,Gradiente,5.4396386392101848,001371215P,4.2671621681643899,29.3723355976,13.7789,16.8197488829,90.8014796457,0.2,101.508226092,282.444773356
18.7838516858,0.490437948323,2.0,0,0,001315715P,0,11.2360304873,0.0532372176233,11.2360304873,22.4720609745,0.2,73.81590271,150.510177612
inf,0.0,1.0,0,0,001371208P,0,10.134,0.0,10.134,10.134,0.2,0.0,227.050750732
0.0374091891932,0.74905831839,26.0,Gradiente,32.505077127075197,004664613A,1.9056820065066995,40.8806947848,26.7314,21.3931883956,560.455885616,0.2,1759.58443322,2349.06200227
3.77757873603,0.134391755777,3.0,0,0,013755615P,0,20.5927620616,0.264719829785,20.5927620616,61.7782861848,0.2,63.2116142942,470.353363037
0.0933096948773,0.27799308292,10.0,Gradiente,1456.6430933062661,004991307A,5.5470903844106285,38.547527688,10.717,22.0473090362,226.377658065,0.2,27593.620287,99260.0966797
13.2331646569,0.260722232302,6.0,Sin interseccion,11.513090960163504,004979211A,0.044467236801402639,31.7695380739,0.075567713841,15.9070026554,88.0029959837,0.2,168.579946963,646.588307699
3.78122707012,1.66249280987,4.0,0,0,004995612A,0,11.4013560007,0.264464413656,11.4013560007,45.605424003,0.2,16549.3744836,9954.55401993
3.21288726233,0.133233263717,3.0,0,0,000137605P,0,14.3991885327,0.311246526364,14.3991885327,43.1975655981,0.2,349.098398268,2620.20450846
0.112768812657,0.305774173559,10.0,Gradiente,2008.7648146342083,000499313A,3.7937558794116204,21.1710093712,8.8677,12.4823826253,121.448413976,0.2,22987.7501904,75178.8482422
0.124356455344,0.452141894731,6.0,Distancia,8.6244918930174581,013759215P,1.5734109094255178,23.0852152513,8.0414,12.3293130804,76.7729712076,0.2,159.135549245,351.959309896
0.00709603849459,0.209005999746,2.0,Distancia,59.21628232509817,000013814P,129.04064410404922,46.0624330526,140.9237,46.0624330526,100.457430493,0.2,1007.79401845,4821.8425293
0.00456681478369,0.728340790606,17.0,Distancia,21.704867387406967,004991211A,16.511150140945023,41.7215563168,218.971,29.1163532289,504.755540357,0.2,1165.94289723,1600.82053932
0.0546645238173,0.614315081616,13.0,Distancia,38.965552469179258,004991813A,1.9389743634111092,32.8581404682,18.2934,17.3985574158,229.766929434,0.2,1390.40079829,2263.33495612
6.01411208904,0.00851817333363,2.0,0,0,137599215P,0,22.6919720436,0.166275584026,22.6919720436,45.3839440873,0.2,2.09671783447,246.14641571
inf,0.0,1.0,0,0,001315415P,0,17.4799950276,0.0,17.4799950276,17.4799950276,0.2,0.0,915.55255127
14.8258128258,0.495276792799,25.0,Sin interseccion,1616.3648263733394,004987705A,0.010998805470757019,9.28650631392,0.0674499274847,4.6487525597,115.156000012,0.2,13142.0991417,26534.8575439
0.501403931007,0.215832407835,3.0,Distancia,9.4521207950885699,013755815P,1.7125329855033884,35.0090201205,1.9944,18.360776553,59.4779144745,0.2,126.255668302,584.970855713
13.1841561964,0.445814743242,9.0,Sin interseccion,14.176684798580331,013755206P,0.015265069939928525,16.0148890127,0.0758486159523,8.01507704134,70.8442662316,0.2,178.92789561,401.350332896
10.6454037084,0.0641151524487,2.0,0,0,013755415P,0,16.9285519965,0.0939372547429,16.9285519965,33.857103993,0.2,65.761932373,1025.6847229
0.0113367116734,0.258443005936,3.0,Distancia,48.582835039054189,004989615A,52.825464271308263,21.7916287265,88.209,21.7916287265,67.5043409908,0.2,483.684688808,1871.53328857
6.50020462924,0.230959405258,2.0,0,0,000017603T,0,27.3548605614,0.153841310703,27.3548605614,54.7097211228,0.2,192.496368408,833.464080811
0.258297817383,0.338671332007,8.0,Gradiente,130.21027748648169,004989702A,1.3501511268041999,29.9260930999,3.8715,15.6381221133,127.994013917,0.2,2332.91402387,6888.43076869
inf,0.0,1.0,0,0,013759208P,0,15.0388231431,0.0,15.0388231431,15.0388231431,0.2,0.0,124.198898315
inf,0.0,1.0,0,0,000497803A,0,16.4754040016,0.0,16.4754040016,16.4754040016,0.2,0.0,29407.7480469
12.4770057861,0.043440831605,2.0,0,0,004991905A,0,22.2277904618,0.0801474341794,22.2277904618,44.4555809236,0.2,2678.59179688,61660.6933594
inf,0.0,1.0,0,0,013715515P,0,25.1770304987,0.0,25.1770304987,25.1770304987,0.2,0.0,406.245880127
